archivo,modelo,prompt_id,prompt_corto,cantidad_solicitada,ejemplos_recuperados,metodo_extraccion
llama3.2_1b_prompt_1_electronicos_10gen.txt,llama3.2:1b,prompt_1_electronicos,Electrónicos,10,10,json_completo
llama3.2_1b_prompt_1_electronicos_20gen.txt,llama3.2:1b,prompt_1_electronicos,Electrónicos,20,20,json_completo
llama3.2_1b_prompt_1_electronicos_50gen.txt,llama3.2:1b,prompt_1_electronicos,Electrónicos,50,16,json_completo
llama3.2_1b_prompt_2_belleza_10gen.txt,llama3.2:1b,prompt_2_belleza,Belleza,10,10,json_completo
llama3.2_1b_prompt_2_belleza_20gen.txt,llama3.2:1b,prompt_2_belleza,Belleza,20,0,json_completo
llama3.2_1b_prompt_2_belleza_50gen.txt,llama3.2:1b,prompt_2_belleza,Belleza,50,45,json_completo
llama3.2_1b_prompt_3_hogar_10gen.txt,llama3.2:1b,prompt_3_hogar,Hogar,10,10,json_reparado_por_objetos
llama3.2_1b_prompt_3_hogar_20gen.txt,llama3.2:1b,prompt_3_hogar,Hogar,20,20,json_completo
llama3.2_1b_prompt_3_hogar_50gen.txt,llama3.2:1b,prompt_3_hogar,Hogar,50,49,json_reparado_por_objetos
mistral_latest_prompt_1_electronicos_10gen.txt,mistral:latest,prompt_1_electronicos,Electrónicos,10,10,json_completo
mistral_latest_prompt_1_electronicos_20gen.txt,mistral:latest,prompt_1_electronicos,Electrónicos,20,20,json_reparado_por_objetos
mistral_latest_prompt_1_electronicos_50gen.txt,mistral:latest,prompt_1_electronicos,Electrónicos,50,45,json_completo
mistral_latest_prompt_2_belleza_10gen.txt,mistral:latest,prompt_2_belleza,Belleza,10,10,json_completo
mistral_latest_prompt_2_belleza_20gen.txt,mistral:latest,prompt_2_belleza,Belleza,20,20,json_completo
mistral_latest_prompt_2_belleza_50gen.txt,mistral:latest,prompt_2_belleza,Belleza,50,45,json_completo
mistral_latest_prompt_3_hogar_10gen.txt,mistral:latest,prompt_3_hogar,Hogar,10,10,json_completo
mistral_latest_prompt_3_hogar_20gen.txt,mistral:latest,prompt_3_hogar,Hogar,20,20,json_completo
mistral_latest_prompt_3_hogar_50gen.txt,mistral:latest,prompt_3_hogar,Hogar,50,50,json_completo
phi3_mini_prompt_1_electronicos_10gen.txt,phi3:mini,prompt_1_electronicos,Electrónicos,10,1,json_reparado_por_objetos
phi3_mini_prompt_1_electronicos_20gen.txt,phi3:mini,prompt_1_electronicos,Electrónicos,20,18,json_reparado_por_objetos
phi3_mini_prompt_1_electronicos_50gen.txt,phi3:mini,prompt_1_electronicos,Electrónicos,50,30,json_completo
phi3_mini_prompt_2_belleza_10gen.txt,phi3:mini,prompt_2_belleza,Belleza,10,3,json_reparado_por_objetos
phi3_mini_prompt_2_belleza_20gen.txt,phi3:mini,prompt_2_belleza,Belleza,20,12,json_completo
phi3_mini_prompt_2_belleza_50gen.txt,phi3:mini,prompt_2_belleza,Belleza,50,2,json_reparado_por_objetos
phi3_mini_prompt_3_hogar_10gen.txt,phi3:mini,prompt_3_hogar,Hogar,10,5,json_reparado_por_objetos
phi3_mini_prompt_3_hogar_20gen.txt,phi3:mini,prompt_3_hogar,Hogar,20,19,json_completo
phi3_mini_prompt_3_hogar_50gen.txt,phi3:mini,prompt_3_hogar,Hogar,50,27,json_completo
